geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1049,-23.54530659,-46.63699457,Akkarampalle,Andhra Pradesh
1021,-23.54516769,-46.63224868,Akkarampalle,Andhra Pradesh
1018,-23.55021865,-46.63188,Akkarampalle,Andhra Pradesh
1044,-23.54575105,-46.64132694,Akkarampalle,Andhra Pradesh
1030,-23.5383639,-46.6329301,Akkarampalle,Andhra Pradesh
1025,-23.53992094,-46.62834793,Akkarampalle,Andhra Pradesh
1004,-23.5501159,-46.63512161,Akkarampalle,Andhra Pradesh
1023,-23.54260296,-46.63094284,Akkarampalle,Andhra Pradesh
1028,-23.53602775,-46.63287853,Akkarampalle,Andhra Pradesh
1155,-23.52878808,-46.6644042,Akkarampalle,Andhra Pradesh
1122,-23.53128077,-46.63726039,Akkarampalle,Andhra Pradesh
1150,-23.5322553,-46.66275607,Akkarampalle,Andhra Pradesh
1123,-23.52930718,-46.63490526,Akkarampalle,Andhra Pradesh
1139,-23.52076038,-46.66138414,Akkarampalle,Andhra Pradesh
1153,-23.5281187,-46.65645155,Akkarampalle,Andhra Pradesh
1104,-23.53521846,-46.62461223,Akkarampalle,Andhra Pradesh
1136,-23.5235096,-46.66694417,Akkarampalle,Andhra Pradesh
1130,-23.52663823,-46.6438097,Akkarampalle,Andhra Pradesh
1103,-23.53538865,-46.63174771,Akkarampalle,Andhra Pradesh
1156,-23.52982727,-46.66466606,Akkarampalle,Andhra Pradesh
1151,-23.52778819,-46.66030962,Akkarampalle,Andhra Pradesh
1140,-23.51793017,-46.66742959,Akkarampalle,Andhra Pradesh
1120,-23.53076049,-46.63921601,Akkarampalle,Andhra Pradesh
1106,-23.53249636,-46.62640566,Akkarampalle,Andhra Pradesh
1124,-23.52736739,-46.63188349,Akkarampalle,Andhra Pradesh
1131,-23.52164183,-46.64747555,Akkarampalle,Andhra Pradesh
1121,-23.52458848,-46.63439214,Akkarampalle,Andhra Pradesh
1141,-23.5201192,-46.66584,Akkarampalle,Andhra Pradesh
1125,-23.5290505,-46.63889432,Akkarampalle,Andhra Pradesh
1102,-23.52261022,-46.62942388,Akkarampalle,Andhra Pradesh
1127,-23.52773504,-46.64480016,Akkarampalle,Andhra Pradesh
1137,-23.51957274,-46.65427157,Akkarampalle,Andhra Pradesh
1135,-23.52122103,-46.65296293,Akkarampalle,Andhra Pradesh
1138,-23.51882541,-46.6556236,Akkarampalle,Andhra Pradesh
1128,-23.52296857,-46.64174928,Akkarampalle,Andhra Pradesh
1109,-23.52535537,-46.62754223,Akkarampalle,Andhra Pradesh
1132,-23.5192918,-46.6498009,Akkarampalle,Andhra Pradesh
1108,-23.52375958,-46.63241545,Akkarampalle,Andhra Pradesh
1107,-23.5220049,-46.63397366,Akkarampalle,Andhra Pradesh
1154,-23.53158118,-46.66174681,Akkarampalle,Andhra Pradesh
1152,-23.52916893,-46.65214846,Akkarampalle,Andhra Pradesh
1134,-23.51867681,-46.65311591,Akkarampalle,Andhra Pradesh
1144,-23.52362351,-46.6720158,Akkarampalle,Andhra Pradesh
1129,-23.52592375,-46.64213178,Akkarampalle,Andhra Pradesh
1105,-23.53374423,-46.63063486,Akkarampalle,Andhra Pradesh
1126,-23.52915073,-46.64042336,Akkarampalle,Andhra Pradesh
1142,-23.51993431,-46.62513002,Akkarampalle,Andhra Pradesh
1133,-23.52259111,-46.65104901,Akkarampalle,Andhra Pradesh
1101,-23.53371859,-46.63327836,Akkarampalle,Andhra Pradesh
1189,-23.53210826,-46.6383947,Akkarampalle,Andhra Pradesh
1202,-23.5302439,-46.65091042,Akkarampalle,Andhra Pradesh
1230,-23.53273473,-46.65432445,Akkarampalle,Andhra Pradesh
1221,-23.54601533,-46.64900196,Akkarampalle,Andhra Pradesh
1217,-23.53384477,-46.64940664,Akkarampalle,Andhra Pradesh
1243,-23.54946978,-46.6550983,Akkarampalle,Andhra Pradesh
1203,-23.53711938,-46.64438744,Akkarampalle,Andhra Pradesh
1214,-23.53569581,-46.64141314,Akkarampalle,Andhra Pradesh
1257,-23.54507217,-46.68438058,Akkarampalle,Andhra Pradesh
1231,-23.53670816,-46.65964184,Akkarampalle,Andhra Pradesh
1216,-23.53597286,-46.651407,Akkarampalle,Andhra Pradesh
1226,-23.53447857,-46.65502762,Akkarampalle,Andhra Pradesh
1220,-23.542758,-46.64547398,Akkarampalle,Andhra Pradesh
1223,-23.54377252,-46.648273,Akkarampalle,Andhra Pradesh
1213,-23.53640028,-46.64003759,Akkarampalle,Andhra Pradesh
1227,-23.53729012,-46.6544309,Akkarampalle,Andhra Pradesh
1240,-23.54378694,-46.65861209,Akkarampalle,Andhra Pradesh
1258,-23.5449931,-46.68559718,Akkarampalle,Andhra Pradesh
1222,-23.54715958,-46.64989461,Akkarampalle,Andhra Pradesh
1211,-23.53582224,-46.65160505,Akkarampalle,Andhra Pradesh
1244,-23.54499336,-46.65968022,Akkarampalle,Andhra Pradesh
1238,-23.54195269,-46.65931762,Akkarampalle,Andhra Pradesh
1204,-23.53680115,-46.64441627,Akkarampalle,Andhra Pradesh
1234,-23.5370555,-46.66361722,Akkarampalle,Andhra Pradesh
1228,-23.5483928,-46.65901834,Akkarampalle,Andhra Pradesh
1224,-23.54171855,-46.64883066,Akkarampalle,Andhra Pradesh
1229,-23.54108734,-46.6573392,Akkarampalle,Andhra Pradesh
1232,-23.53676737,-46.65507313,Akkarampalle,Andhra Pradesh
1218,-23.53154468,-46.65066867,Akkarampalle,Andhra Pradesh
1215,-23.5379823,-46.64927618,Akkarampalle,Andhra Pradesh
1239,-23.54878169,-46.65745981,Akkarampalle,Andhra Pradesh
1205,-23.53176047,-46.64592571,Akkarampalle,Andhra Pradesh
1201,-23.53435726,-46.6493563,Akkarampalle,Andhra Pradesh
1259,-23.54335653,-46.68394637,Akkarampalle,Andhra Pradesh
1210,-23.54086099,-46.64385528,Akkarampalle,Andhra Pradesh
1249,-23.54756595,-46.66977043,Akkarampalle,Andhra Pradesh
1212,-23.53751126,-46.63705731,Akkarampalle,Andhra Pradesh
1248,-23.54730755,-46.66789155,Akkarampalle,Andhra Pradesh
1233,-23.54029947,-46.66278361,Akkarampalle,Andhra Pradesh
1219,-23.54022357,-46.64527714,Akkarampalle,Andhra Pradesh
1235,-23.53645972,-46.66424679,Akkarampalle,Andhra Pradesh
1209,-23.53944676,-46.63937834,Akkarampalle,Andhra Pradesh
1236,-23.5416922,-46.66747263,Akkarampalle,Andhra Pradesh
1206,-23.5355358,-46.64305203,Akkarampalle,Andhra Pradesh
1207,-23.53684062,-46.64039304,Akkarampalle,Andhra Pradesh
1251,-23.54700826,-46.67399274,Akkarampalle,Andhra Pradesh
1242,-23.54752663,-46.65580327,Akkarampalle,Andhra Pradesh
1241,-23.54567661,-46.65699347,Akkarampalle,Andhra Pradesh
1208,-23.54082251,-46.63971471,Akkarampalle,Andhra Pradesh
1254,-23.54196785,-46.68191419,Akkarampalle,Andhra Pradesh
1255,-23.54578246,-46.68119826,Akkarampalle,Andhra Pradesh
1245,-23.54929681,-46.66359455,Akkarampalle,Andhra Pradesh
1225,-23.54064715,-46.64825178,Akkarampalle,Andhra Pradesh
1252,-23.54173205,-46.67710842,Akkarampalle,Andhra Pradesh
1237,-23.54431769,-46.6698228,Akkarampalle,Andhra Pradesh
1200,-23.53156777,-46.64986908,Akkarampalle,Andhra Pradesh
1250,-23.54810634,-46.67255084,Akkarampalle,Andhra Pradesh
1247,-23.55134173,-46.66937701,Akkarampalle,Andhra Pradesh
1246,-23.55259069,-46.66640488,Akkarampalle,Andhra Pradesh
1262,-23.55085639,-46.67735185,Akkarampalle,Andhra Pradesh
1253,-23.54320797,-46.6802447,Akkarampalle,Andhra Pradesh
1290,-23.54096134,-46.6577487,Akkarampalle,Andhra Pradesh
1256,-23.54856754,-46.68329305,Akkarampalle,Andhra Pradesh
1303,-23.55001133,-46.64818241,Akkarampalle,Andhra Pradesh
1309,-23.55732369,-46.65692891,Akkarampalle,Andhra Pradesh
1310,-23.55692691,-46.66154179,Akkarampalle,Andhra Pradesh
1323,-23.56360093,-46.64096892,Akkarampalle,Andhra Pradesh
1321,-23.55896104,-46.64089189,Akkarampalle,Andhra Pradesh
1333,-23.56356994,-46.65184217,Akkarampalle,Andhra Pradesh
1314,-23.55027122,-46.64153043,Akkarampalle,Andhra Pradesh
1331,-23.56232752,-46.65032774,Akkarampalle,Andhra Pradesh
1307,-23.5493607,-46.65412442,Akkarampalle,Andhra Pradesh
1318,-23.5650381,-46.64731634,Akkarampalle,Andhra Pradesh
1322,-23.5641899,-46.64356964,Akkarampalle,Andhra Pradesh
1308,-23.55518251,-46.65226234,Akkarampalle,Andhra Pradesh
1306,-23.5543338,-46.64967364,Akkarampalle,Andhra Pradesh
1301,-23.5508128,-46.65525803,Akkarampalle,Andhra Pradesh
1302,-23.54765096,-46.64357748,Akkarampalle,Andhra Pradesh
1312,-23.55364601,-46.64827785,Akkarampalle,Andhra Pradesh
1319,-23.55156261,-46.64021297,Akkarampalle,Andhra Pradesh
1316,-23.55298158,-46.63977389,Akkarampalle,Andhra Pradesh
1317,-23.56281095,-46.64538049,Akkarampalle,Andhra Pradesh
1313,-23.55651329,-46.6502532,Akkarampalle,Andhra Pradesh
1324,-23.55135945,-46.64339075,Akkarampalle,Andhra Pradesh
1327,-23.5652193,-46.64515173,Akkarampalle,Andhra Pradesh
1304,-23.55217945,-46.652992,Akkarampalle,Andhra Pradesh
1332,-23.5598746,-46.65312716,Akkarampalle,Andhra Pradesh
1326,-23.55890829,-46.64517208,Akkarampalle,Andhra Pradesh
1315,-23.55259299,-46.64068339,Akkarampalle,Andhra Pradesh
1325,-23.56040415,-46.6440907,Akkarampalle,Andhra Pradesh
1329,-23.56314574,-46.6466188,Akkarampalle,Andhra Pradesh
1330,-23.55681762,-46.64986084,Akkarampalle,Andhra Pradesh
1311,-23.56056636,-46.65761043,Akkarampalle,Andhra Pradesh
1305,-23.55608305,-46.65802268,Akkarampalle,Andhra Pradesh
1320,-23.55733794,-46.63877749,Akkarampalle,Andhra Pradesh
1328,-23.55542941,-46.64533779,Akkarampalle,Andhra Pradesh
1402,-23.58406691,-46.66998067,Akkarampalle,Andhra Pradesh
1421,-23.56233151,-46.66120425,Akkarampalle,Andhra Pradesh
1403,-23.57034736,-46.653151,Akkarampalle,Andhra Pradesh
1409,-23.56136643,-46.65759387,Akkarampalle,Andhra Pradesh
1411,-23.56854685,-46.66483314,Akkarampalle,Andhra Pradesh
1452,-23.56883153,-46.69199439,Akkarampalle,Andhra Pradesh
1423,-23.5689182,-46.65699514,Akkarampalle,Andhra Pradesh
1417,-23.48850963,-46.71460628,Akkarampalle,Andhra Pradesh
1408,-23.56943871,-46.66342129,Akkarampalle,Andhra Pradesh
1455,-23.5806907,-46.68751888,Akkarampalle,Andhra Pradesh
1401,-23.56974757,-46.65100357,Akkarampalle,Andhra Pradesh
1410,-23.55859574,-46.65657076,Akkarampalle,Andhra Pradesh
1453,-23.58343566,-46.6864627,Akkarampalle,Andhra Pradesh
1415,-23.55184004,-46.6545531,Akkarampalle,Andhra Pradesh
1416,-23.55951039,-46.6670639,Akkarampalle,Andhra Pradesh
1445,-23.56834638,-46.68910543,Akkarampalle,Andhra Pradesh
1424,-23.56816236,-46.66117893,Akkarampalle,Andhra Pradesh
1422,-23.55978442,-46.66607926,Akkarampalle,Andhra Pradesh
1419,-23.557768,-46.66267335,Akkarampalle,Andhra Pradesh
1414,-23.56362277,-46.66760382,Akkarampalle,Andhra Pradesh
1420,-23.56851814,-46.65191533,Akkarampalle,Andhra Pradesh
1451,-23.58348907,-46.68508055,Akkarampalle,Andhra Pradesh
1446,-23.57569278,-46.67656976,Akkarampalle,Andhra Pradesh
1406,-23.56582007,-46.65801074,Akkarampalle,Andhra Pradesh
1454,-23.58214887,-46.68638063,Akkarampalle,Andhra Pradesh
1426,-23.56259715,-46.66968808,Akkarampalle,Andhra Pradesh
1413,-23.55863183,-46.66070143,Akkarampalle,Andhra Pradesh
1433,-23.58188489,-46.6684868,Akkarampalle,Andhra Pradesh
1427,-23.57351512,-46.66112293,Akkarampalle,Andhra Pradesh
1405,-23.56696412,-46.65698271,Akkarampalle,Andhra Pradesh
1435,-23.57968191,-46.66963177,Akkarampalle,Andhra Pradesh
1449,-23.5762922,-46.6814231,Akkarampalle,Andhra Pradesh
1425,-23.57233035,-46.66082328,Akkarampalle,Andhra Pradesh
1430,-23.88162935,-46.6438188,Akkarampalle,Andhra Pradesh
1404,-23.56994327,-46.6570937,Akkarampalle,Andhra Pradesh
1442,-23.56370227,-46.67529086,Akkarampalle,Andhra Pradesh
1407,-23.5784801,-46.67516751,Akkarampalle,Andhra Pradesh
1418,-23.56312174,-46.65656671,Akkarampalle,Andhra Pradesh
1472,-23.57054369,-46.69129668,Akkarampalle,Andhra Pradesh
1443,-23.56750865,-46.68471806,Akkarampalle,Andhra Pradesh
1428,-23.57646147,-46.65933149,Akkarampalle,Andhra Pradesh
1434,-23.57791701,-46.6694526,Akkarampalle,Andhra Pradesh
1457,-23.5788355,-46.6909282,Akkarampalle,Andhra Pradesh
1412,-23.56442334,-46.66684085,Akkarampalle,Andhra Pradesh
1448,-23.5774167,-46.67817482,Akkarampalle,Andhra Pradesh
1456,-23.57850416,-46.6901183,Akkarampalle,Andhra Pradesh
1432,-23.57442069,-46.66422199,Akkarampalle,Andhra Pradesh
1441,-23.5756567,-46.68951883,Akkarampalle,Andhra Pradesh
1489,-23.57664999,-46.68740005,Akkarampalle,Andhra Pradesh
1429,-23.57524109,-46.66307398,Akkarampalle,Andhra Pradesh
1450,-23.57492548,-46.685052,Akkarampalle,Andhra Pradesh
1440,-23.56448528,-46.67441861,Akkarampalle,Andhra Pradesh
1438,-23.57032558,-46.67299258,Akkarampalle,Andhra Pradesh
1444,-23.60567566,-46.74544468,Akkarampalle,Andhra Pradesh
1436,-23.5726508,-46.66771705,Akkarampalle,Andhra Pradesh
1447,-23.57251768,-46.68071077,Akkarampalle,Andhra Pradesh
1439,-23.56628327,-46.67340369,Akkarampalle,Andhra Pradesh
1431,-23.57816664,-46.66288282,Akkarampalle,Andhra Pradesh
1437,-23.57095472,-46.66969643,Akkarampalle,Andhra Pradesh
1526,-23.56690213,-46.6300592,Akkarampalle,Andhra Pradesh
1509,-23.56759053,-46.63545151,Akkarampalle,Andhra Pradesh
1504,-23.56375858,-46.6389921,Akkarampalle,Andhra Pradesh
1536,-23.56253963,-46.62234397,Akkarampalle,Andhra Pradesh
1535,-23.56961802,-46.62490078,Akkarampalle,Andhra Pradesh
1511,-23.55568231,-46.63309991,Akkarampalle,Andhra Pradesh
1534,-23.5628474,-46.62391126,Akkarampalle,Andhra Pradesh
1514,-23.55306435,-46.62768626,Akkarampalle,Andhra Pradesh
1529,-23.56935316,-46.63690014,Akkarampalle,Andhra Pradesh
1539,-23.57378256,-46.62058067,Akkarampalle,Andhra Pradesh
1532,-23.57206085,-46.63613684,Akkarampalle,Andhra Pradesh
1542,-23.57081105,-46.62114561,Akkarampalle,Andhra Pradesh
1548,-23.57834656,-46.61471087,Akkarampalle,Andhra Pradesh
1543,-23.57575585,-46.62009626,Akkarampalle,Andhra Pradesh
1544,-23.5769225,-46.62291192,Akkarampalle,Andhra Pradesh
1546,-23.57625295,-46.62235968,Akkarampalle,Andhra Pradesh
1523,-23.56366379,-46.61929091,Akkarampalle,Andhra Pradesh
1506,-23.56180273,-46.63479183,Akkarampalle,Andhra Pradesh
1518,-23.55893044,-46.62292374,Akkarampalle,Andhra Pradesh
1510,-23.55619866,-46.63344748,Akkarampalle,Andhra Pradesh
1537,-23.56902278,-46.62199067,Akkarampalle,Andhra Pradesh
1531,-23.57012417,-46.63265516,Akkarampalle,Andhra Pradesh
1549,-23.57732127,-46.61708485,Akkarampalle,Andhra Pradesh
1533,-23.57219854,-46.6391311,Akkarampalle,Andhra Pradesh
1525,-23.5670089,-46.63752875,Akkarampalle,Andhra Pradesh
1520,-23.55923867,-46.61831888,Akkarampalle,Andhra Pradesh
1550,-23.57203616,-46.61521227,Akkarampalle,Andhra Pradesh
1503,-23.55548824,-46.63559924,Akkarampalle,Andhra Pradesh
1541,-23.5687223,-46.61880092,Akkarampalle,Andhra Pradesh
1545,-23.58137306,-46.61787583,Akkarampalle,Andhra Pradesh
1522,-23.55916467,-46.61546692,Akkarampalle,Andhra Pradesh
1508,-23.56014607,-46.63334613,Akkarampalle,Andhra Pradesh
1519,-23.56007529,-46.6218299,Akkarampalle,Andhra Pradesh
1547,-23.58202355,-46.62322245,Akkarampalle,Andhra Pradesh
1538,-23.573205,-46.62290025,Akkarampalle,Andhra Pradesh
1501,-23.55193148,-46.6356909,Akkarampalle,Andhra Pradesh
1521,-23.56012382,-46.62080822,Akkarampalle,Andhra Pradesh
1530,-23.58614539,-46.72796029,Akkarampalle,Andhra Pradesh
1505,-23.55539651,-46.63286103,Akkarampalle,Andhra Pradesh
1502,-23.55498325,-46.63569905,Akkarampalle,Andhra Pradesh
1551,-23.57664938,-46.61216233,Akkarampalle,Andhra Pradesh
1540,-23.5646142,-46.6204983,Akkarampalle,Andhra Pradesh
1528,-23.56326862,-46.62567807,Akkarampalle,Andhra Pradesh
1513,-23.55689555,-46.6310037,Akkarampalle,Andhra Pradesh
1527,-23.56314456,-46.62658014,Akkarampalle,Andhra Pradesh
1524,-23.56704554,-46.616112,Akkarampalle,Andhra Pradesh
1507,-23.55819745,-46.63164908,Akkarampalle,Andhra Pradesh
1512,-23.5536449,-46.6326189,Akkarampalle,Andhra Pradesh
1552,-23.5738359,-46.61101337,Akkarampalle,Andhra Pradesh
1553,-23.57430308,-46.60968254,Akkarampalle,Andhra Pradesh
1516,-23.55948466,-46.61446206,Akkarampalle,Andhra Pradesh
1517,-23.56024793,-46.62483145,Akkarampalle,Andhra Pradesh
2019,-23.498262,-46.62855054,Akkarampalle,Andhra Pradesh
2069,-23.50688764,-46.61434088,Akkarampalle,Andhra Pradesh
2067,-23.50589562,-46.60638997,Akkarampalle,Andhra Pradesh
2020,-23.49908392,-46.63226647,Akkarampalle,Andhra Pradesh
2075,-23.50202851,-46.60034967,Akkarampalle,Andhra Pradesh
2012,-23.50836123,-46.62752419,Akkarampalle,Andhra Pradesh
2076,-23.50692178,-46.59894961,Akkarampalle,Andhra Pradesh
2035,-23.500395,-46.62233251,Akkarampalle,Andhra Pradesh
2034,-23.50412274,-46.62460753,Akkarampalle,Andhra Pradesh
2022,-23.50623787,-46.64043239,Akkarampalle,Andhra Pradesh
2021,-23.49943999,-46.63380353,Akkarampalle,Andhra Pradesh
2080,-23.49781772,-46.60657423,Akkarampalle,Andhra Pradesh
2066,-23.50875908,-46.60297304,Akkarampalle,Andhra Pradesh
2085,-23.49744368,-46.61260909,Akkarampalle,Andhra Pradesh
2030,-23.50476958,-46.62470303,Akkarampalle,Andhra Pradesh
2064,-23.51980758,-46.59604573,Akkarampalle,Andhra Pradesh
2029,-23.51093659,-46.62008934,Akkarampalle,Andhra Pradesh
2060,-23.51886128,-46.6038228,Akkarampalle,Andhra Pradesh
2054,-23.51636255,-46.6056925,Akkarampalle,Andhra Pradesh
2072,-23.50081051,-46.60427196,Akkarampalle,Andhra Pradesh
2017,-23.50138125,-46.63920651,Akkarampalle,Andhra Pradesh
2018,-23.49351105,-46.63106708,Akkarampalle,Andhra Pradesh
2043,-23.49022304,-46.61732559,Akkarampalle,Andhra Pradesh
2074,-23.50907581,-46.59346384,Akkarampalle,Andhra Pradesh
2038,-23.49857049,-46.62335346,Akkarampalle,Andhra Pradesh
2016,-23.50097763,-46.62712333,Akkarampalle,Andhra Pradesh
2040,-23.48902299,-46.6218669,Akkarampalle,Andhra Pradesh
2056,-23.51064064,-46.60409341,Akkarampalle,Andhra Pradesh
2051,-23.51226774,-46.60874803,Akkarampalle,Andhra Pradesh
2041,-23.49010232,-46.61972999,Akkarampalle,Andhra Pradesh
2039,-23.49231066,-46.62052862,Akkarampalle,Andhra Pradesh
2073,-23.50123032,-46.60751038,Akkarampalle,Andhra Pradesh
2082,-23.49467073,-46.60965312,Akkarampalle,Andhra Pradesh
2033,-23.50215379,-46.61688101,Akkarampalle,Andhra Pradesh
2013,-23.50308575,-46.63382294,Akkarampalle,Andhra Pradesh
2079,-23.50036683,-46.6026406,Akkarampalle,Andhra Pradesh
2037,-23.49998652,-46.61873041,Akkarampalle,Andhra Pradesh
2083,-23.49552086,-46.59927427,Akkarampalle,Andhra Pradesh
2068,-23.50320809,-46.61302451,Akkarampalle,Andhra Pradesh
2071,-23.50313754,-46.60968448,Akkarampalle,Andhra Pradesh
2047,-23.51836389,-46.61420873,Akkarampalle,Andhra Pradesh
2078,-23.50246061,-46.59374589,Akkarampalle,Andhra Pradesh
2044,-23.49568082,-46.61894671,Akkarampalle,Andhra Pradesh
2084,-23.49567503,-46.59947757,Akkarampalle,Andhra Pradesh
2055,-23.51295294,-46.60830247,Akkarampalle,Andhra Pradesh
2042,-23.4880224,-46.6190015,Akkarampalle,Andhra Pradesh
2045,-23.49440602,-46.61732055,Akkarampalle,Andhra Pradesh
2036,-23.5021075,-46.62196128,Akkarampalle,Andhra Pradesh
2046,-23.48774785,-46.61152878,Akkarampalle,Andhra Pradesh
2010,-23.51492956,-46.62640583,Akkarampalle,Andhra Pradesh
2081,-23.49664722,-46.60503619,Akkarampalle,Andhra Pradesh
2050,-23.5165435,-46.61056316,Akkarampalle,Andhra Pradesh
2052,-23.50946693,-46.6068675,Akkarampalle,Andhra Pradesh
2031,-23.515069,-46.62531652,Akkarampalle,Andhra Pradesh
2028,-23.50751845,-46.61747075,Akkarampalle,Andhra Pradesh
2065,-23.50172637,-46.60239776,Akkarampalle,Andhra Pradesh
2077,-23.50100111,-46.59626328,Akkarampalle,Andhra Pradesh
2011,-23.50190277,-46.62622917,Akkarampalle,Andhra Pradesh
2049,-23.51497582,-46.61611265,Akkarampalle,Andhra Pradesh
2032,-23.51077695,-46.62390843,Akkarampalle,Andhra Pradesh
2053,-23.51042744,-46.6011795,Akkarampalle,Andhra Pradesh
2009,-23.5157991,-46.64113909,Akkarampalle,Andhra Pradesh
2089,-23.51709448,-46.6166731,Akkarampalle,Andhra Pradesh
2088,-23.50424026,-46.62074207,Akkarampalle,Andhra Pradesh
2150,-23.4957502,-46.56850789,Akkarampalle,Andhra Pradesh
2133,-23.50029146,-46.58561516,Akkarampalle,Andhra Pradesh
2167,-23.52290395,-46.5818041,Akkarampalle,Andhra Pradesh
2130,-23.50810094,-46.58282425,Akkarampalle,Andhra Pradesh
2188,-23.50750947,-46.56565714,Akkarampalle,Andhra Pradesh
2152,-23.49815871,-46.57321173,Akkarampalle,Andhra Pradesh
2138,-23.4956516,-46.57582723,Akkarampalle,Andhra Pradesh
2134,-23.49931808,-46.57812437,Akkarampalle,Andhra Pradesh
2176,-23.51226784,-46.57370473,Akkarampalle,Andhra Pradesh
2117,-23.52019456,-46.59353893,Akkarampalle,Andhra Pradesh
2119,-23.51359387,-46.59299116,Akkarampalle,Andhra Pradesh
2131,-23.50281071,-46.58176193,Akkarampalle,Andhra Pradesh
2124,-23.50636476,-46.58066376,Akkarampalle,Andhra Pradesh
2129,-23.5052157,-46.58945987,Akkarampalle,Andhra Pradesh
2132,-23.49833145,-46.5804145,Akkarampalle,Andhra Pradesh
2110,-23.52188843,-46.59374226,Akkarampalle,Andhra Pradesh
2135,-23.49880797,-46.57363113,Akkarampalle,Andhra Pradesh
2127,-23.50238052,-46.58273095,Akkarampalle,Andhra Pradesh
2114,-23.52285334,-46.59177958,Akkarampalle,Andhra Pradesh
2178,-23.5198384,-46.57027291,Akkarampalle,Andhra Pradesh
2177,-23.51111277,-46.56976217,Akkarampalle,Andhra Pradesh
2120,-23.51041663,-46.59421775,Akkarampalle,Andhra Pradesh
2161,-23.49126219,-46.57078598,Akkarampalle,Andhra Pradesh
2112,-23.51266818,-46.58665534,Akkarampalle,Andhra Pradesh
2126,-23.50685808,-46.59162344,Akkarampalle,Andhra Pradesh
2169,-23.51932718,-46.57580723,Akkarampalle,Andhra Pradesh
2123,-23.5107737,-46.57804828,Akkarampalle,Andhra Pradesh
2189,-23.5076215,-46.56616243,Akkarampalle,Andhra Pradesh
2128,-23.50399491,-46.59463824,Akkarampalle,Andhra Pradesh
2179,-23.51950161,-46.5673105,Akkarampalle,Andhra Pradesh
2136,-23.49825445,-46.57847266,Akkarampalle,Andhra Pradesh
2174,-23.52306256,-46.5718968,Akkarampalle,Andhra Pradesh
2186,-23.51335483,-46.56877347,Akkarampalle,Andhra Pradesh
2137,-23.50176923,-46.57187321,Akkarampalle,Andhra Pradesh
2185,-23.51228361,-46.56782304,Akkarampalle,Andhra Pradesh
2181,-23.52093291,-46.56270977,Akkarampalle,Andhra Pradesh
